Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
dorado_barcode01	0.12976901116013498	0.0
dorado_barcode02	0.0	0.0
dorado_barcode03	0.15772870662460567	99.84227129337539
dorado_barcode04	0.23885350318471338	0.23885350318471338
dorado_barcode05	0.0	0.0
dorado_barcode06	0.12345679012345678	99.87654320987654
dorado_barcode07	0.12531328320802004	99.87468671679198
dorado_barcode08	0.0	0.0
dorado_barcode09	0.0	0.0
dorado_barcode10	0.0	0.0
dorado_barcode11	0.0	0.0
dorado_barcode12	5.94925634295713	4.199475065616798
dorado_barcode13	0.12376237623762376	99.87623762376238
dorado_barcode14	0.10622477161674101	0.0
dorado_barcode15	0.0	0.0
dorado_barcode16	0.16420361247947454	99.83579638752053
dorado_barcode17	0.0	0.0
dorado_barcode18	0.0	0.0
dorado_barcode19	1.301775147928994	98.69822485207101
dorado_barcode20	0.0	0.0
dorado_barcode21	100.0	0.0
dorado_barcode23	100.0	0.0
dorado_barcode24	100.0	0.0
dorado_unclassified	2.451789470878197	9.792052176887825
minknow_barcode01	0.20366598778004072	99.79633401221996
minknow_barcode02	0.0	0.0
minknow_barcode03	2.127659574468085	97.87234042553192
minknow_barcode04	1.3157894736842104	98.68421052631578
minknow_barcode05	0.0	0.0
minknow_barcode06	1.694915254237288	98.30508474576271
minknow_barcode07	2.3255813953488373	97.67441860465117
minknow_barcode08	1.36986301369863	98.63013698630137
minknow_barcode09	0.0	0.0
minknow_barcode10	0.0	0.0
minknow_barcode11	0.0	0.0
minknow_barcode12	26.400000000000002	73.6
minknow_barcode13	2.1739130434782608	97.82608695652173
minknow_barcode14	0.1323918799646955	0.0
minknow_barcode15	0.0	0.0
minknow_barcode16	3.3333333333333335	96.66666666666667
minknow_barcode17	0.0	0.0
minknow_barcode18	0.0	0.0
minknow_barcode19	10.784313725490197	89.2156862745098
minknow_barcode20	0.0	0.0
minknow_unclassified	0.2541137421274822	0.5539897946250172
