Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
dorado_barcode01	(3.0, 1.0)	(4.0, 9.0)	(5.0, 10.0)	(6.0, 5.0)	(7.0, 17.0)	(8.0, 15.0)	(9.0, 26.0)	(10.0, 35.0)	(11.0, 28.0)	(12.0, 22.0)	(13.0, 16.0)	(14.0, 10.0)	(15.0, 17.0)	(16.0, 16.0)	(17.0, 13.0)	(18.0, 16.0)	(19.0, 25.0)	(20.0, 12.0)	(21.0, 28.0)	(22.0, 26.0)	(23.0, 36.0)	(24.0, 29.0)	(25.0, 39.0)	(26.0, 35.0)	(27.0, 37.0)	(28.0, 59.0)	(29.0, 68.0)	(30.0, 78.0)	(31.0, 93.0)	(32.0, 95.0)	(33.0, 112.0)	(34.0, 115.0)	(35.0, 147.0)	(36.0, 180.0)	(37.0, 196.0)	(38.0, 214.0)	(39.0, 211.0)	(40.0, 250.0)	(41.0, 270.0)	(42.0, 302.0)	(43.0, 302.0)	(44.0, 275.0)	(45.0, 196.0)	(46.0, 116.0)	(47.0, 40.0)	(48.0, 8.0)	(49.0, 3.0)			
dorado_barcode02	(1.0, 3.0)	(2.0, 18.0)	(3.0, 36.0)	(4.0, 188.0)	(5.0, 292.0)	(6.0, 352.0)	(7.0, 385.0)	(8.0, 496.0)	(9.0, 644.0)	(10.0, 752.0)	(11.0, 678.0)	(12.0, 594.0)	(13.0, 494.0)	(14.0, 411.0)	(15.0, 361.0)	(16.0, 361.0)	(17.0, 404.0)	(18.0, 460.0)	(19.0, 445.0)	(20.0, 484.0)	(21.0, 558.0)	(22.0, 610.0)	(23.0, 665.0)	(24.0, 744.0)	(25.0, 819.0)	(26.0, 1020.0)	(27.0, 1172.0)	(28.0, 1432.0)	(29.0, 1558.0)	(30.0, 1927.0)	(31.0, 2211.0)	(32.0, 2675.0)	(33.0, 3064.0)	(34.0, 3663.0)	(35.0, 4403.0)	(36.0, 4974.0)	(37.0, 5756.0)	(38.0, 6554.0)	(39.0, 7576.0)	(40.0, 8635.0)	(41.0, 9406.0)	(42.0, 9883.0)	(43.0, 9504.0)	(44.0, 8024.0)	(45.0, 5239.0)	(46.0, 2298.0)	(47.0, 627.0)	(48.0, 94.0)	(49.0, 30.0)	(50.0, 2.0)
dorado_barcode03	(4.0, 1.0)	(5.0, 2.0)	(6.0, 3.0)	(7.0, 2.0)	(8.0, 1.0)	(9.0, 3.0)	(10.0, 2.0)	(11.0, 4.0)	(12.0, 2.0)	(13.0, 3.0)	(14.0, 2.0)	(15.0, 3.0)	(16.0, 0.0)	(17.0, 4.0)	(18.0, 2.0)	(19.0, 5.0)	(20.0, 4.0)	(21.0, 2.0)	(22.0, 3.0)	(23.0, 3.0)	(24.0, 8.0)	(25.0, 4.0)	(26.0, 12.0)	(27.0, 8.0)	(28.0, 11.0)	(29.0, 12.0)	(30.0, 12.0)	(31.0, 5.0)	(32.0, 17.0)	(33.0, 12.0)	(34.0, 27.0)	(35.0, 23.0)	(36.0, 25.0)	(37.0, 48.0)	(38.0, 43.0)	(39.0, 38.0)	(40.0, 35.0)	(41.0, 43.0)	(42.0, 48.0)	(43.0, 41.0)	(44.0, 33.0)	(45.0, 39.0)	(46.0, 27.0)	(47.0, 10.0)	(48.0, 2.0)					
dorado_barcode04	(4.0, 4.0)	(5.0, 5.0)	(6.0, 3.0)	(7.0, 8.0)	(8.0, 9.0)	(9.0, 8.0)	(10.0, 14.0)	(11.0, 4.0)	(12.0, 9.0)	(13.0, 5.0)	(14.0, 7.0)	(15.0, 8.0)	(16.0, 3.0)	(17.0, 9.0)	(18.0, 8.0)	(19.0, 9.0)	(20.0, 3.0)	(21.0, 10.0)	(22.0, 12.0)	(23.0, 9.0)	(24.0, 15.0)	(25.0, 12.0)	(26.0, 13.0)	(27.0, 14.0)	(28.0, 15.0)	(29.0, 22.0)	(30.0, 20.0)	(31.0, 31.0)	(32.0, 26.0)	(33.0, 36.0)	(34.0, 29.0)	(35.0, 52.0)	(36.0, 54.0)	(37.0, 49.0)	(38.0, 68.0)	(39.0, 64.0)	(40.0, 76.0)	(41.0, 72.0)	(42.0, 99.0)	(43.0, 128.0)	(44.0, 96.0)	(45.0, 68.0)	(46.0, 29.0)	(47.0, 12.0)	(48.0, 6.0)	(49.0, 2.0)	(50.0, 1.0)			
dorado_barcode05	(1.0, 6.0)	(2.0, 73.0)	(3.0, 318.0)	(4.0, 1410.0)	(5.0, 2134.0)	(6.0, 2162.0)	(7.0, 2493.0)	(8.0, 3085.0)	(9.0, 4003.0)	(10.0, 4477.0)	(11.0, 3976.0)	(12.0, 3108.0)	(13.0, 2594.0)	(14.0, 2089.0)	(15.0, 1940.0)	(16.0, 2074.0)	(17.0, 2144.0)	(18.0, 2359.0)	(19.0, 2437.0)	(20.0, 2503.0)	(21.0, 2637.0)	(22.0, 2873.0)	(23.0, 3244.0)	(24.0, 3619.0)	(25.0, 4200.0)	(26.0, 4813.0)	(27.0, 5605.0)	(28.0, 6479.0)	(29.0, 7848.0)	(30.0, 9483.0)	(31.0, 10796.0)	(32.0, 12794.0)	(33.0, 15066.0)	(34.0, 17719.0)	(35.0, 21110.0)	(36.0, 24451.0)	(37.0, 28519.0)	(38.0, 32387.0)	(39.0, 36970.0)	(40.0, 41015.0)	(41.0, 44706.0)	(42.0, 46158.0)	(43.0, 43346.0)	(44.0, 35510.0)	(45.0, 23695.0)	(46.0, 10926.0)	(47.0, 2937.0)	(48.0, 451.0)	(49.0, 60.0)	(50.0, 5.0)
dorado_barcode06	(5.0, 2.0)	(6.0, 0.0)	(7.0, 1.0)	(8.0, 2.0)	(9.0, 1.0)	(10.0, 12.0)	(11.0, 6.0)	(12.0, 4.0)	(13.0, 3.0)	(14.0, 5.0)	(15.0, 4.0)	(16.0, 1.0)	(17.0, 2.0)	(18.0, 3.0)	(19.0, 2.0)	(20.0, 5.0)	(21.0, 4.0)	(22.0, 3.0)	(23.0, 7.0)	(24.0, 10.0)	(25.0, 8.0)	(26.0, 10.0)	(27.0, 7.0)	(28.0, 7.0)	(29.0, 16.0)	(30.0, 17.0)	(31.0, 26.0)	(32.0, 23.0)	(33.0, 20.0)	(34.0, 28.0)	(35.0, 44.0)	(36.0, 24.0)	(37.0, 41.0)	(38.0, 50.0)	(39.0, 43.0)	(40.0, 56.0)	(41.0, 78.0)	(42.0, 54.0)	(43.0, 56.0)	(44.0, 62.0)	(45.0, 39.0)	(46.0, 19.0)	(47.0, 4.0)	(48.0, 0.0)	(49.0, 1.0)					
dorado_barcode07	(4.0, 1.0)	(5.0, 1.0)	(6.0, 6.0)	(7.0, 5.0)	(8.0, 4.0)	(9.0, 8.0)	(10.0, 9.0)	(11.0, 8.0)	(12.0, 5.0)	(13.0, 3.0)	(14.0, 1.0)	(15.0, 5.0)	(16.0, 2.0)	(17.0, 3.0)	(18.0, 3.0)	(19.0, 4.0)	(20.0, 3.0)	(21.0, 6.0)	(22.0, 8.0)	(23.0, 5.0)	(24.0, 8.0)	(25.0, 11.0)	(26.0, 11.0)	(27.0, 13.0)	(28.0, 13.0)	(29.0, 11.0)	(30.0, 14.0)	(31.0, 13.0)	(32.0, 23.0)	(33.0, 26.0)	(34.0, 22.0)	(35.0, 43.0)	(36.0, 24.0)	(37.0, 34.0)	(38.0, 41.0)	(39.0, 56.0)	(40.0, 54.0)	(41.0, 56.0)	(42.0, 64.0)	(43.0, 51.0)	(44.0, 53.0)	(45.0, 35.0)	(46.0, 20.0)	(47.0, 10.0)	(48.0, 2.0)					
dorado_barcode08	(4.0, 3.0)	(5.0, 2.0)	(6.0, 2.0)	(7.0, 0.0)	(8.0, 9.0)	(9.0, 6.0)	(10.0, 9.0)	(11.0, 11.0)	(12.0, 6.0)	(13.0, 2.0)	(14.0, 2.0)	(15.0, 3.0)	(16.0, 5.0)	(17.0, 3.0)	(18.0, 8.0)	(19.0, 1.0)	(20.0, 8.0)	(21.0, 6.0)	(22.0, 7.0)	(23.0, 8.0)	(24.0, 10.0)	(25.0, 13.0)	(26.0, 9.0)	(27.0, 13.0)	(28.0, 15.0)	(29.0, 16.0)	(30.0, 12.0)	(31.0, 25.0)	(32.0, 23.0)	(33.0, 17.0)	(34.0, 34.0)	(35.0, 24.0)	(36.0, 42.0)	(37.0, 42.0)	(38.0, 61.0)	(39.0, 58.0)	(40.0, 73.0)	(41.0, 86.0)	(42.0, 95.0)	(43.0, 87.0)	(44.0, 82.0)	(45.0, 45.0)	(46.0, 22.0)	(47.0, 16.0)	(48.0, 1.0)	(49.0, 1.0)				
dorado_barcode09	(2.0, 4.0)	(3.0, 11.0)	(4.0, 51.0)	(5.0, 93.0)	(6.0, 106.0)	(7.0, 157.0)	(8.0, 225.0)	(9.0, 268.0)	(10.0, 262.0)	(11.0, 241.0)	(12.0, 186.0)	(13.0, 171.0)	(14.0, 125.0)	(15.0, 132.0)	(16.0, 147.0)	(17.0, 144.0)	(18.0, 172.0)	(19.0, 177.0)	(20.0, 208.0)	(21.0, 223.0)	(22.0, 230.0)	(23.0, 241.0)	(24.0, 308.0)	(25.0, 348.0)	(26.0, 417.0)	(27.0, 458.0)	(28.0, 568.0)	(29.0, 669.0)	(30.0, 793.0)	(31.0, 889.0)	(32.0, 960.0)	(33.0, 1139.0)	(34.0, 1234.0)	(35.0, 1451.0)	(36.0, 1541.0)	(37.0, 1853.0)	(38.0, 1986.0)	(39.0, 2219.0)	(40.0, 2471.0)	(41.0, 2680.0)	(42.0, 2907.0)	(43.0, 2824.0)	(44.0, 2382.0)	(45.0, 1773.0)	(46.0, 931.0)	(47.0, 322.0)	(48.0, 71.0)	(49.0, 12.0)	(50.0, 2.0)	
dorado_barcode10	(1.0, 2.0)	(2.0, 17.0)	(3.0, 72.0)	(4.0, 307.0)	(5.0, 481.0)	(6.0, 464.0)	(7.0, 549.0)	(8.0, 686.0)	(9.0, 933.0)	(10.0, 1123.0)	(11.0, 993.0)	(12.0, 805.0)	(13.0, 641.0)	(14.0, 548.0)	(15.0, 505.0)	(16.0, 499.0)	(17.0, 546.0)	(18.0, 569.0)	(19.0, 631.0)	(20.0, 703.0)	(21.0, 668.0)	(22.0, 763.0)	(23.0, 896.0)	(24.0, 997.0)	(25.0, 1192.0)	(26.0, 1372.0)	(27.0, 1554.0)	(28.0, 1786.0)	(29.0, 2108.0)	(30.0, 2498.0)	(31.0, 3028.0)	(32.0, 3489.0)	(33.0, 4139.0)	(34.0, 4920.0)	(35.0, 5739.0)	(36.0, 6850.0)	(37.0, 7737.0)	(38.0, 9162.0)	(39.0, 10379.0)	(40.0, 12043.0)	(41.0, 13503.0)	(42.0, 14527.0)	(43.0, 14011.0)	(44.0, 12011.0)	(45.0, 8220.0)	(46.0, 3810.0)	(47.0, 1216.0)	(48.0, 243.0)	(49.0, 71.0)	(50.0, 8.0)
