Sample	Unique Reads	Duplicate Reads
dorado_barcode01	3850.0	3.0
dorado_barcode02	112708.0	273.0
dorado_barcode03	634.0	0.0
dorado_barcode04	1252.0	4.0
dorado_barcode05	544079.0	728.0
dorado_barcode06	810.0	0.0
dorado_barcode07	798.0	0.0
dorado_barcode08	1023.0	0.0
dorado_barcode09	36764.0	18.0
dorado_barcode10	159884.0	130.0
dorado_barcode11	113512.0	55.0
dorado_barcode12	1038.0	105.0
dorado_barcode13	808.0	0.0
dorado_barcode14	4700.0	7.0
dorado_barcode15	31476.0	7.0
dorado_barcode16	609.0	0.0
dorado_barcode17	1888322.0	16792.0
dorado_barcode18	1081794.0	18681.0
dorado_barcode19	824.0	21.0
dorado_barcode20	1421226.0	129498.0
dorado_barcode21	1.0	0.0
dorado_barcode23	1.0	0.0
dorado_barcode24	1.0	0.0
dorado_unclassified	384443.0	65718.0
minknow_barcode01	491.0	0.0
minknow_barcode02	56026.0	88.0
minknow_barcode03	47.0	0.0
minknow_barcode04	76.0	0.0
minknow_barcode05	295903.0	275.0
minknow_barcode06	59.0	0.0
minknow_barcode07	43.0	0.0
minknow_barcode08	73.0	0.0
minknow_barcode09	20511.0	5.0
minknow_barcode10	41843.0	4.0
minknow_barcode11	59640.0	4.0
minknow_barcode12	72.0	53.0
minknow_barcode13	46.0	0.0
minknow_barcode14	2263.0	3.0
minknow_barcode15	16042.0	0.0
minknow_barcode16	30.0	0.0
minknow_barcode17	1195884.0	9580.0
minknow_barcode18	743644.0	12131.0
minknow_barcode19	86.0	16.0
minknow_barcode20	778334.0	43581.0
minknow_unclassified	1229801.0	876736.0
