Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
dorado_barcode01	dorado_barcode01	Conventional base calls	Sanger / Illumina 1.9	3853.0	7.7 Mbp	0.0	6-42174	48.0	99.8961847910719	2059.628730859071	499	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
dorado_barcode02	dorado_barcode02	Conventional base calls	Sanger / Illumina 1.9	112981.0	261.4 Mbp	0.0	5-546951	49.0	99.75759009130684	10033.784317717138	9999	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
dorado_barcode03	dorado_barcode03	Conventional base calls	Sanger / Illumina 1.9	634.0	1.1 Mbp	0.0	11-26132	48.0	100.0	1875.788643533123	499	pass	pass	pass	fail	fail	pass	warn	pass	warn	pass
dorado_barcode04	dorado_barcode04	Conventional base calls	Sanger / Illumina 1.9	1256.0	2.7 Mbp	0.0	5-85637	50.0	99.68152866242038	2429.292595541401	999	pass	pass	pass	fail	fail	pass	warn	pass	warn	pass
dorado_barcode05	dorado_barcode05	Conventional base calls	Sanger / Illumina 1.9	544807.0	1.3 Gbp	0.0	5-462612	48.0	99.8663648434744	5246.424703610636	4999	pass	fail	pass	fail	fail	pass	warn	pass	pass	pass
dorado_barcode06	dorado_barcode06	Conventional base calls	Sanger / Illumina 1.9	810.0	1.6 Mbp	0.0	9-22561	48.0	100.0	2012.8104938271606	749	pass	pass	pass	fail	fail	pass	warn	pass	warn	pass
dorado_barcode07	dorado_barcode07	Conventional base calls	Sanger / Illumina 1.9	798.0	1.5 Mbp	0.0	6-50514	51.0	100.0	1965.3621553884711	499	pass	pass	pass	fail	fail	pass	warn	pass	warn	pass
dorado_barcode08	dorado_barcode08	Conventional base calls	Sanger / Illumina 1.9	1023.0	2 Mbp	0.0	8-42765	48.0	100.0	2045.8181818181818	499	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
dorado_barcode09	dorado_barcode09	Conventional base calls	Sanger / Illumina 1.9	36782.0	48.7 Mbp	0.0	5-369198	45.0	99.95106301995541	5097.36308520472	4999	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
dorado_barcode10	dorado_barcode10	Conventional base calls	Sanger / Illumina 1.9	160014.0	366.6 Mbp	0.0	5-353180	49.0	99.91818471395436	5389.132100941168	4999	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
dorado_barcode11	dorado_barcode11	Conventional base calls	Sanger / Illumina 1.9	113567.0	243.5 Mbp	0.0	5-322018	51.0	99.95085151487798	5227.700181390721	4999	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
dorado_barcode12	dorado_barcode12	Conventional base calls	Sanger / Illumina 1.9	1143.0	1.8 Mbp	0.0	5-64890	49.0	90.72615923009624	2017.3880139982502	999	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass
dorado_barcode13	dorado_barcode13	Conventional base calls	Sanger / Illumina 1.9	808.0	1.5 Mbp	0.0	11-37254	50.0	100.0	1981.7128712871288	499	pass	pass	pass	fail	fail	pass	warn	pass	warn	pass
dorado_barcode14	dorado_barcode14	Conventional base calls	Sanger / Illumina 1.9	4707.0	5.4 Mbp	0.0	5-35958	47.0	99.85128531973656	1265.376354365838	499	pass	pass	pass	warn	warn	pass	warn	pass	warn	pass
dorado_barcode15	dorado_barcode15	Conventional base calls	Sanger / Illumina 1.9	31483.0	53.5 Mbp	0.0	5-70399	47.0	99.97776577835657	1980.7660959883112	999	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
dorado_barcode16	dorado_barcode16	Conventional base calls	Sanger / Illumina 1.9	609.0	955.1 kbp	0.0	15-37942	49.0	100.0	1653.8054187192117	499	pass	pass	pass	fail	fail	pass	warn	pass	warn	pass
