Module	Section	Sample Name	Source
FastQC	all_sections	dorado_barcode01	/u/scratch/d/dlera/annabelle_metagenome/cca-metagenome/results/read-qc/fastqc/dorado/dorado_barcode01_fastqc.zip
FastQC	all_sections	dorado_barcode02	/u/scratch/d/dlera/annabelle_metagenome/cca-metagenome/results/read-qc/fastqc/dorado/dorado_barcode02_fastqc.zip
FastQC	all_sections	dorado_barcode03	/u/scratch/d/dlera/annabelle_metagenome/cca-metagenome/results/read-qc/fastqc/dorado/dorado_barcode03_fastqc.zip
FastQC	all_sections	dorado_barcode04	/u/scratch/d/dlera/annabelle_metagenome/cca-metagenome/results/read-qc/fastqc/dorado/dorado_barcode04_fastqc.zip
FastQC	all_sections	dorado_barcode05	/u/scratch/d/dlera/annabelle_metagenome/cca-metagenome/results/read-qc/fastqc/dorado/dorado_barcode05_fastqc.zip
FastQC	all_sections	dorado_barcode06	/u/scratch/d/dlera/annabelle_metagenome/cca-metagenome/results/read-qc/fastqc/dorado/dorado_barcode06_fastqc.zip
FastQC	all_sections	dorado_barcode07	/u/scratch/d/dlera/annabelle_metagenome/cca-metagenome/results/read-qc/fastqc/dorado/dorado_barcode07_fastqc.zip
FastQC	all_sections	dorado_barcode08	/u/scratch/d/dlera/annabelle_metagenome/cca-metagenome/results/read-qc/fastqc/dorado/dorado_barcode08_fastqc.zip
FastQC	all_sections	dorado_barcode09	/u/scratch/d/dlera/annabelle_metagenome/cca-metagenome/results/read-qc/fastqc/dorado/dorado_barcode09_fastqc.zip
FastQC	all_sections	dorado_barcode10	/u/scratch/d/dlera/annabelle_metagenome/cca-metagenome/results/read-qc/fastqc/dorado/dorado_barcode10_fastqc.zip
FastQC	all_sections	dorado_barcode11	/u/scratch/d/dlera/annabelle_metagenome/cca-metagenome/results/read-qc/fastqc/dorado/dorado_barcode11_fastqc.zip
FastQC	all_sections	dorado_barcode12	/u/scratch/d/dlera/annabelle_metagenome/cca-metagenome/results/read-qc/fastqc/dorado/dorado_barcode12_fastqc.zip
FastQC	all_sections	dorado_barcode13	/u/scratch/d/dlera/annabelle_metagenome/cca-metagenome/results/read-qc/fastqc/dorado/dorado_barcode13_fastqc.zip
