Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44
minknow_barcode01	(15.0, 1.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 1.0)	(19.0, 3.0)	(20.0, 1.0)	(21.0, 4.0)	(22.0, 3.0)	(23.0, 6.0)	(24.0, 9.0)	(25.0, 7.0)	(26.0, 5.0)	(27.0, 7.0)	(28.0, 11.0)	(29.0, 15.0)	(30.0, 27.0)	(31.0, 22.0)	(32.0, 25.0)	(33.0, 28.0)	(34.0, 28.0)	(35.0, 26.0)	(36.0, 30.0)	(37.0, 34.0)	(38.0, 25.0)	(39.0, 18.0)	(40.0, 25.0)	(41.0, 25.0)	(42.0, 43.0)	(43.0, 24.0)	(44.0, 17.0)	(45.0, 17.0)	(46.0, 2.0)	(47.0, 2.0)												
minknow_barcode02	(11.0, 2.0)	(12.0, 0.0)	(13.0, 7.0)	(14.0, 18.0)	(15.0, 43.0)	(16.0, 82.0)	(17.0, 94.0)	(18.0, 135.0)	(19.0, 153.0)	(20.0, 175.0)	(21.0, 232.0)	(22.0, 264.0)	(23.0, 299.0)	(24.0, 343.0)	(25.0, 403.0)	(26.0, 443.0)	(27.0, 560.0)	(28.0, 716.0)	(29.0, 781.0)	(30.0, 940.0)	(31.0, 1104.0)	(32.0, 1363.0)	(33.0, 1627.0)	(34.0, 1950.0)	(35.0, 2235.0)	(36.0, 2604.0)	(37.0, 2976.0)	(38.0, 3521.0)	(39.0, 4048.0)	(40.0, 4546.0)	(41.0, 5039.0)	(42.0, 5479.0)	(43.0, 5278.0)	(44.0, 4370.0)	(45.0, 2817.0)	(46.0, 1186.0)	(47.0, 261.0)	(48.0, 20.0)							
minknow_barcode03	(18.0, 1.0)	(19.0, 0.0)	(20.0, 1.0)	(21.0, 0.0)	(22.0, 1.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 1.0)	(26.0, 3.0)	(27.0, 0.0)	(28.0, 1.0)	(29.0, 2.0)	(30.0, 2.0)	(31.0, 8.0)	(32.0, 1.0)	(33.0, 3.0)	(34.0, 6.0)	(35.0, 2.0)	(36.0, 0.0)	(37.0, 9.0)	(38.0, 0.0)	(39.0, 1.0)	(40.0, 1.0)	(41.0, 2.0)	(42.0, 1.0)	(43.0, 0.0)	(44.0, 0.0)	(45.0, 1.0)																	
minknow_barcode04	(21.0, 1.0)	(22.0, 0.0)	(23.0, 1.0)	(24.0, 0.0)	(25.0, 1.0)	(26.0, 2.0)	(27.0, 4.0)	(28.0, 3.0)	(29.0, 1.0)	(30.0, 3.0)	(31.0, 1.0)	(32.0, 8.0)	(33.0, 8.0)	(34.0, 6.0)	(35.0, 7.0)	(36.0, 11.0)	(37.0, 5.0)	(38.0, 4.0)	(39.0, 0.0)	(40.0, 4.0)	(41.0, 2.0)	(42.0, 1.0)	(43.0, 2.0)	(44.0, 0.0)	(45.0, 1.0)																				
minknow_barcode05	(7.0, 1.0)	(8.0, 6.0)	(9.0, 5.0)	(10.0, 11.0)	(11.0, 24.0)	(12.0, 31.0)	(13.0, 86.0)	(14.0, 186.0)	(15.0, 263.0)	(16.0, 441.0)	(17.0, 612.0)	(18.0, 808.0)	(19.0, 949.0)	(20.0, 1048.0)	(21.0, 1173.0)	(22.0, 1322.0)	(23.0, 1548.0)	(24.0, 1768.0)	(25.0, 2073.0)	(26.0, 2460.0)	(27.0, 2919.0)	(28.0, 3384.0)	(29.0, 4080.0)	(30.0, 4864.0)	(31.0, 5928.0)	(32.0, 6972.0)	(33.0, 8259.0)	(34.0, 9891.0)	(35.0, 11768.0)	(36.0, 13921.0)	(37.0, 16411.0)	(38.0, 18915.0)	(39.0, 21912.0)	(40.0, 24799.0)	(41.0, 27011.0)	(42.0, 28258.0)	(43.0, 26853.0)	(44.0, 22022.0)	(45.0, 14766.0)	(46.0, 6662.0)	(47.0, 1615.0)	(48.0, 153.0)			
minknow_barcode06	(21.0, 1.0)	(22.0, 1.0)	(23.0, 1.0)	(24.0, 1.0)	(25.0, 1.0)	(26.0, 1.0)	(27.0, 2.0)	(28.0, 1.0)	(29.0, 2.0)	(30.0, 1.0)	(31.0, 4.0)	(32.0, 5.0)	(33.0, 7.0)	(34.0, 6.0)	(35.0, 4.0)	(36.0, 5.0)	(37.0, 6.0)	(38.0, 3.0)	(39.0, 2.0)	(40.0, 2.0)	(41.0, 1.0)	(42.0, 0.0)	(43.0, 1.0)	(44.0, 1.0)																					
minknow_barcode07	(15.0, 1.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 1.0)	(23.0, 1.0)	(24.0, 0.0)	(25.0, 1.0)	(26.0, 1.0)	(27.0, 2.0)	(28.0, 0.0)	(29.0, 2.0)	(30.0, 2.0)	(31.0, 4.0)	(32.0, 6.0)	(33.0, 2.0)	(34.0, 6.0)	(35.0, 3.0)	(36.0, 2.0)	(37.0, 2.0)	(38.0, 4.0)	(39.0, 1.0)	(40.0, 1.0)	(41.0, 0.0)	(42.0, 1.0)																	
minknow_barcode08	(20.0, 1.0)	(21.0, 1.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 2.0)	(25.0, 4.0)	(26.0, 2.0)	(27.0, 3.0)	(28.0, 1.0)	(29.0, 2.0)	(30.0, 3.0)	(31.0, 9.0)	(32.0, 1.0)	(33.0, 5.0)	(34.0, 4.0)	(35.0, 4.0)	(36.0, 4.0)	(37.0, 4.0)	(38.0, 2.0)	(39.0, 3.0)	(40.0, 5.0)	(41.0, 6.0)	(42.0, 3.0)	(43.0, 3.0)	(44.0, 1.0)																				
minknow_barcode09	(10.0, 2.0)	(11.0, 3.0)	(12.0, 3.0)	(13.0, 10.0)	(14.0, 14.0)	(15.0, 17.0)	(16.0, 25.0)	(17.0, 37.0)	(18.0, 69.0)	(19.0, 80.0)	(20.0, 86.0)	(21.0, 110.0)	(22.0, 107.0)	(23.0, 128.0)	(24.0, 142.0)	(25.0, 208.0)	(26.0, 212.0)	(27.0, 284.0)	(28.0, 326.0)	(29.0, 390.0)	(30.0, 455.0)	(31.0, 531.0)	(32.0, 577.0)	(33.0, 626.0)	(34.0, 726.0)	(35.0, 857.0)	(36.0, 1002.0)	(37.0, 1010.0)	(38.0, 1220.0)	(39.0, 1353.0)	(40.0, 1464.0)	(41.0, 1662.0)	(42.0, 1750.0)	(43.0, 1768.0)	(44.0, 1422.0)	(45.0, 1091.0)	(46.0, 549.0)	(47.0, 178.0)	(48.0, 21.0)	(49.0, 1.0)					
minknow_barcode10	(11.0, 1.0)	(12.0, 2.0)	(13.0, 5.0)	(14.0, 20.0)	(15.0, 34.0)	(16.0, 48.0)	(17.0, 58.0)	(18.0, 74.0)	(19.0, 125.0)	(20.0, 119.0)	(21.0, 145.0)	(22.0, 164.0)	(23.0, 210.0)	(24.0, 234.0)	(25.0, 271.0)	(26.0, 356.0)	(27.0, 407.0)	(28.0, 490.0)	(29.0, 564.0)	(30.0, 661.0)	(31.0, 880.0)	(32.0, 1047.0)	(33.0, 1233.0)	(34.0, 1422.0)	(35.0, 1816.0)	(36.0, 1942.0)	(37.0, 2212.0)	(38.0, 2462.0)	(39.0, 2902.0)	(40.0, 3320.0)	(41.0, 3677.0)	(42.0, 4052.0)	(43.0, 3899.0)	(44.0, 3358.0)	(45.0, 2281.0)	(46.0, 1063.0)	(47.0, 262.0)	(48.0, 31.0)							
