Sample	Unique Reads	Duplicate Reads
minknow_barcode01	491.0	0.0
minknow_barcode02	56026.0	88.0
minknow_barcode03	47.0	0.0
minknow_barcode04	76.0	0.0
minknow_barcode05	295903.0	275.0
minknow_barcode06	59.0	0.0
minknow_barcode07	43.0	0.0
minknow_barcode08	73.0	0.0
minknow_barcode09	20511.0	5.0
minknow_barcode10	41843.0	4.0
minknow_barcode11	59640.0	4.0
minknow_barcode12	72.0	53.0
minknow_barcode13	46.0	0.0
minknow_barcode14	2263.0	3.0
minknow_barcode15	16042.0	0.0
minknow_barcode16	30.0	0.0
minknow_barcode17	1195884.0	9580.0
minknow_barcode18	743644.0	12131.0
minknow_barcode19	86.0	16.0
minknow_barcode20	778334.0	43581.0
minknow_unclassified	1229801.0	876736.0
