Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
minknow_barcode01	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
minknow_barcode02	(1.0, 99.7683287593114)	(2.0, 0.11048936094379298)	(3.0, 0.03742381580354279)	(4.0, 0.007128345867341483)	(5.0, 0.008910432334176854)	(6.0, 0.0)	(7.0, 0.012474605267847596)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.05524468047189649)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
minknow_barcode03	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
minknow_barcode04	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
minknow_barcode05	(1.0, 99.8771390161506)	(2.0, 0.04208582960383838)	(3.0, 0.009990355530197188)	(4.0, 0.005015547247493737)	(5.0, 0.005802837524551425)	(6.0, 0.002212119254420782)	(7.0, 0.012514822232359306)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0189060481907859)	('>50', 0.026333424265737503)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
minknow_barcode06	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
minknow_barcode07	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
minknow_barcode08	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
minknow_barcode09	(1.0, 99.94638331058687)	(2.0, 0.03899395593682979)	(3.0, 0.014622733476311173)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
minknow_barcode10	(1.0, 99.97849308194135)	(2.0, 0.01433794537242813)	(3.0, 0.007168972686214065)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
