Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
minknow_barcode01	minknow_barcode01	Conventional base calls	Sanger / Illumina 1.9	491.0	1.2 Mbp	0.0	133-42163	47.0	100.0	2569.9327902240325	1499	pass	pass	pass	fail	fail	pass	warn	pass	warn	pass
minknow_barcode02	minknow_barcode02	Conventional base calls	Sanger / Illumina 1.9	56114.0	141.2 Mbp	0.0	54-65092	50.0	99.84317639091849	2637.3719570873577	999	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
minknow_barcode03	minknow_barcode03	Conventional base calls	Sanger / Illumina 1.9	47.0	184.2 kbp	0.0	309-18796	47.0	100.0	3885.648936170213	1749	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass
minknow_barcode04	minknow_barcode04	Conventional base calls	Sanger / Illumina 1.9	76.0	211.1 kbp	0.0	272-31289	45.0	100.0	2705.3618421052633	1499	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass
minknow_barcode05	minknow_barcode05	Conventional base calls	Sanger / Illumina 1.9	296178.0	773.7 Mbp	0.0	54-81909	48.0	99.90709584607944	2699.997523448737	999	pass	pass	pass	warn	fail	pass	warn	pass	pass	pass
minknow_barcode06	minknow_barcode06	Conventional base calls	Sanger / Illumina 1.9	59.0	188.4 kbp	0.0	331-19460	47.0	100.0	3172.584745762712	1249	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass
minknow_barcode07	minknow_barcode07	Conventional base calls	Sanger / Illumina 1.9	43.0	165.4 kbp	0.0	372-28227	49.0	100.0	3792.860465116279	1499	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass
minknow_barcode08	minknow_barcode08	Conventional base calls	Sanger / Illumina 1.9	73.0	233.3 kbp	0.0	180-22706	48.0	100.0	3206.404109589041	1249	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass
minknow_barcode09	minknow_barcode09	Conventional base calls	Sanger / Illumina 1.9	20516.0	28 Mbp	0.0	38-35896	45.0	99.97075453304738	1408.982793916943	499	pass	pass	pass	warn	fail	pass	warn	pass	pass	pass
minknow_barcode10	minknow_barcode10	Conventional base calls	Sanger / Illumina 1.9	41847.0	114 Mbp	0.0	41-63301	48.0	99.98805171218964	2863.2333978540873	999	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
minknow_barcode11	minknow_barcode11	Conventional base calls	Sanger / Illumina 1.9	59644.0	140 Mbp	0.0	42-50999	50.0	99.99161692710081	2357.440446650124	1499	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
minknow_barcode12	minknow_barcode12	Conventional base calls	Sanger / Illumina 1.9	125.0	244.6 kbp	0.0	35-64896	51.0	57.599999999999994	2627.092	999	pass	pass	pass	fail	fail	pass	warn	warn	fail	pass
minknow_barcode13	minknow_barcode13	Conventional base calls	Sanger / Illumina 1.9	46.0	157.5 kbp	0.0	349-33482	47.0	100.0	3363.4565217391305	1499	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass
minknow_barcode14	minknow_barcode14	Conventional base calls	Sanger / Illumina 1.9	2266.0	2.5 Mbp	0.0	40-35969	47.0	99.8676081200353	1224.5597969991175	499	pass	pass	pass	warn	fail	pass	warn	pass	warn	pass
minknow_barcode15	minknow_barcode15	Conventional base calls	Sanger / Illumina 1.9	16042.0	28.5 Mbp	0.0	40-27012	46.0	100.0	1825.800149607281	499	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
minknow_barcode16	minknow_barcode16	Conventional base calls	Sanger / Illumina 1.9	30.0	93.8 kbp	0.0	260-33665	51.0	100.0	3060.616666666667	1499	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass
minknow_barcode17	minknow_barcode17	Conventional base calls	Sanger / Illumina 1.9	1205464.0	1.2 Gbp	0.0	11-66203	41.0	99.20524308393838	1476.0427275306438	999	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
minknow_barcode18	minknow_barcode18	Conventional base calls	Sanger / Illumina 1.9	755775.0	710.4 Mbp	0.0	37-62988	40.0	98.39478510067133	1398.5466673282392	999	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
minknow_barcode19	minknow_barcode19	Conventional base calls	Sanger / Illumina 1.9	102.0	126.6 kbp	0.0	40-20886	49.0	84.31372549019608	1297.9705882352941	249	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass
minknow_barcode20	minknow_barcode20	Conventional base calls	Sanger / Illumina 1.9	821915.0	4.3 Gbp	0.0	31-148132	56.0	94.69759416748029	6028.781089893724	2499	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
minknow_unclassified	minknow_unclassified	Conventional base calls	Sanger / Illumina 1.9	2106537.0	5.2 Gbp	0.0	42-222714	52.0	58.3802061090671	3703.9549219880782	2499	pass	fail	pass	fail	fail	pass	warn	warn	warn	pass
